X [cm],Y [cm],Z [cm],Bx [G],By [G],Bz [G]
-0.0,0.0,-39.21,-0.0,43.4,-1.5
-0.0,-4.5,-39.21,-0.0,38.3,-26.9
-0.0,4.5,-39.21,-0.0,36.8,21.6
-0.0,-3.18,-39.21,-0.0,41.0,-19.3
-0.0,3.18,-39.21,-0.0,39.9,15.0
-0.0,-2.0,-39.21,-0.0,42.6,-12.6
-0.0,2.0,-39.21,-0.0,41.9,9.0
-0.0,-6.35,-39.21,-0.0,32.9,-38.0
-0.0,6.35,-39.21,-0.0,30.7,30.5
4.5,0.0,-39.21,-0.0,43.4,-1.5
4.5,-4.5,-39.21,-0.0,38.3,-26.9
4.5,4.5,-39.21,-0.0,36.8,21.6
4.5,-3.18,-39.21,-0.0,41.0,-19.3
4.5,3.18,-39.21,-0.0,39.9,15.0
4.5,-2.0,-39.21,-0.0,42.6,-12.6
4.5,2.0,-39.21,-0.0,41.9,9.0
4.5,-6.35,-39.21,-0.0,32.9,-38.0
4.5,6.35,-39.21,-0.0,30.7,30.5
-4.5,0.0,-39.21,-0.0,43.4,-1.5
-4.5,-4.5,-39.21,-0.0,38.3,-26.9
-4.5,4.5,-39.21,-0.0,36.8,21.6
-4.5,-3.18,-39.21,-0.0,41.0,-19.3
-4.5,3.18,-39.21,-0.0,39.9,15.0
-4.5,-2.0,-39.21,-0.0,42.6,-12.6
-4.5,2.0,-39.21,-0.0,41.9,9.0
-4.5,-6.35,-39.21,-0.0,32.9,-38.0
-4.5,6.35,-39.21,-0.0,30.7,30.5
3.18,0.0,-39.21,-0.0,43.4,-1.5
3.18,-4.5,-39.21,-0.0,38.3,-26.9
3.18,4.5,-39.21,-0.0,36.8,21.6
3.18,-3.18,-39.21,-0.0,41.0,-19.3
3.18,3.18,-39.21,-0.0,39.9,15.0
3.18,-2.0,-39.21,-0.0,42.6,-12.6
3.18,2.0,-39.21,-0.0,41.9,9.0
3.18,-6.35,-39.21,-0.0,32.9,-38.0
3.18,6.35,-39.21,-0.0,30.7,30.5
-3.18,0.0,-39.21,-0.0,43.4,-1.5
-3.18,-4.5,-39.21,-0.0,38.3,-26.9
-3.18,4.5,-39.21,-0.0,36.8,21.6
-3.18,-3.18,-39.21,-0.0,41.0,-19.3
-3.18,3.18,-39.21,-0.0,39.9,15.0
-3.18,-2.0,-39.21,-0.0,42.6,-12.6
-3.18,2.0,-39.21,-0.0,41.9,9.0
-3.18,-6.35,-39.21,-0.0,32.9,-38.0
-3.18,6.35,-39.21,-0.0,30.7,30.5
-6.35,0.0,-39.21,-0.0,43.4,-1.5
-6.35,-4.5,-39.21,-0.0,38.3,-26.9
-6.35,4.5,-39.21,-0.0,36.8,21.6
-6.35,-3.18,-39.21,-0.0,41.0,-19.3
-6.35,3.18,-39.21,-0.0,39.9,15.0
-6.35,-2.0,-39.21,-0.0,42.6,-12.6
-6.35,2.0,-39.21,-0.0,41.9,9.0
-6.35,-6.35,-39.21,-0.0,32.9,-38.0
-6.35,6.35,-39.21,-0.0,30.7,30.5
6.35,0.0,-39.21,-0.0,43.4,-1.5
6.35,-4.5,-39.21,-0.0,38.3,-26.9
6.35,4.5,-39.21,-0.0,36.8,21.6
6.35,-3.18,-39.21,-0.0,41.0,-19.3
6.35,3.18,-39.21,-0.0,39.9,15.0
6.35,-2.0,-39.21,-0.0,42.6,-12.6
6.35,2.0,-39.21,-0.0,41.9,9.0
6.35,-6.35,-39.21,-0.0,32.9,-38.0
6.35,6.35,-39.21,-0.0,30.7,30.5
-0.0,0.0,-34.21,-0.0,75.5,-1.3
-0.0,-4.5,-34.21,-0.0,82.3,-36.5
-0.0,4.5,-34.21,-0.0,80.1,25.6
-0.0,-3.18,-34.21,-0.0,79.2,-25.3
-0.0,3.18,-34.21,-0.0,77.6,18.5
-0.0,-2.0,-34.21,-0.0,77.2,-15.9
-0.0,2.0,-34.21,-0.0,76.1,11.7
-0.0,-6.35,-34.21,-0.0,88.4,-53.3
-0.0,6.35,-34.21,-0.0,85.3,34.2
4.5,0.0,-34.21,-0.0,75.5,-1.3
4.5,-4.5,-34.21,-0.0,82.3,-36.5
4.5,4.5,-34.21,-0.0,80.1,25.6
4.5,-3.18,-34.21,-0.0,79.2,-25.3
4.5,3.18,-34.21,-0.0,77.6,18.5
4.5,-2.0,-34.21,-0.0,77.2,-15.9
4.5,2.0,-34.21,-0.0,76.1,11.7
4.5,-6.35,-34.21,-0.0,88.4,-53.3
4.5,6.35,-34.21,-0.0,85.3,34.2
-4.5,0.0,-34.21,-0.0,75.5,-1.3
-4.5,-4.5,-34.21,-0.0,82.3,-36.5
-4.5,4.5,-34.21,-0.0,80.1,25.6
-4.5,-3.18,-34.21,-0.0,79.2,-25.3
-4.5,3.18,-34.21,-0.0,77.6,18.5
-4.5,-2.0,-34.21,-0.0,77.2,-15.9
-4.5,2.0,-34.21,-0.0,76.1,11.7
-4.5,-6.35,-34.21,-0.0,88.4,-53.3
-4.5,6.35,-34.21,-0.0,85.3,34.2
3.18,0.0,-34.21,-0.0,75.5,-1.3
3.18,-4.5,-34.21,-0.0,82.3,-36.5
3.18,4.5,-34.21,-0.0,80.1,25.6
3.18,-3.18,-34.21,-0.0,79.2,-25.3
3.18,3.18,-34.21,-0.0,77.6,18.5
3.18,-2.0,-34.21,-0.0,77.2,-15.9
3.18,2.0,-34.21,-0.0,76.1,11.7
3.18,-6.35,-34.21,-0.0,88.4,-53.3
3.18,6.35,-34.21,-0.0,85.3,34.2
-3.18,0.0,-34.21,-0.0,75.5,-1.3
-3.18,-4.5,-34.21,-0.0,82.3,-36.5
-3.18,4.5,-34.21,-0.0,80.1,25.6
-3.18,-3.18,-34.21,-0.0,79.2,-25.3
-3.18,3.18,-34.21,-0.0,77.6,18.5
-3.18,-2.0,-34.21,-0.0,77.2,-15.9
-3.18,2.0,-34.21,-0.0,76.1,11.7
-3.18,-6.35,-34.21,-0.0,88.4,-53.3
-3.18,6.35,-34.21,-0.0,85.3,34.2
-6.35,0.0,-34.21,-0.0,75.5,-1.3
-6.35,-4.5,-34.21,-0.0,82.3,-36.5
-6.35,4.5,-34.21,-0.0,80.1,25.6
-6.35,-3.18,-34.21,-0.0,79.2,-25.3
-6.35,3.18,-34.21,-0.0,77.6,18.5
-6.35,-2.0,-34.21,-0.0,77.2,-15.9
-6.35,2.0,-34.21,-0.0,76.1,11.7
-6.35,-6.35,-34.21,-0.0,88.4,-53.3
-6.35,6.35,-34.21,-0.0,85.3,34.2
6.35,0.0,-34.21,-0.0,75.5,-1.3
6.35,-4.5,-34.21,-0.0,82.3,-36.5
6.35,4.5,-34.21,-0.0,80.1,25.6
6.35,-3.18,-34.21,-0.0,79.2,-25.3
6.35,3.18,-34.21,-0.0,77.6,18.5
6.35,-2.0,-34.21,-0.0,77.2,-15.9
6.35,2.0,-34.21,-0.0,76.1,11.7
6.35,-6.35,-34.21,-0.0,88.4,-53.3
6.35,6.35,-34.21,-0.0,85.3,34.2
-0.0,0.0,-29.21,0.0,98.8,-1.5
-0.0,-4.5,-29.21,0.0,103.8,-4.2
-0.0,4.5,-29.21,0.0,101.8,5.4
-0.0,-3.18,-29.21,0.0,101.5,-3.8
-0.0,3.18,-29.21,0.0,100.1,3.0
-0.0,-2.0,-29.21,0.0,100.0,-3.2
-0.0,2.0,-29.21,0.0,99.1,1.1
-0.0,-6.35,-29.21,0.0,108.1,-4.1
-0.0,6.35,-29.21,0.0,105.3,9.5
4.5,0.0,-29.21,0.0,98.8,-1.5
4.5,-4.5,-29.21,0.0,103.8,-4.2
4.5,4.5,-29.21,0.0,101.8,5.4
4.5,-3.18,-29.21,0.0,101.5,-3.8
4.5,3.18,-29.21,0.0,100.1,3.0
4.5,-2.0,-29.21,0.0,100.0,-3.2
4.5,2.0,-29.21,0.0,99.1,1.1
4.5,-6.35,-29.21,0.0,108.1,-4.1
4.5,6.35,-29.21,0.0,105.3,9.5
-4.5,0.0,-29.21,0.0,98.8,-1.5
-4.5,-4.5,-29.21,0.0,103.8,-4.2
-4.5,4.5,-29.21,0.0,101.8,5.4
-4.5,-3.18,-29.21,0.0,101.5,-3.8
-4.5,3.18,-29.21,0.0,100.1,3.0
-4.5,-2.0,-29.21,0.0,100.0,-3.2
-4.5,2.0,-29.21,0.0,99.1,1.1
-4.5,-6.35,-29.21,0.0,108.1,-4.1
-4.5,6.35,-29.21,0.0,105.3,9.5
3.18,0.0,-29.21,0.0,98.8,-1.5
3.18,-4.5,-29.21,0.0,103.8,-4.2
3.18,4.5,-29.21,0.0,101.8,5.4
3.18,-3.18,-29.21,0.0,101.5,-3.8
3.18,3.18,-29.21,0.0,100.1,3.0
3.18,-2.0,-29.21,0.0,100.0,-3.2
3.18,2.0,-29.21,0.0,99.1,1.1
3.18,-6.35,-29.21,0.0,108.1,-4.1
3.18,6.35,-29.21,0.0,105.3,9.5
-3.18,0.0,-29.21,0.0,98.8,-1.5
-3.18,-4.5,-29.21,0.0,103.8,-4.2
-3.18,4.5,-29.21,0.0,101.8,5.4
-3.18,-3.18,-29.21,0.0,101.5,-3.8
-3.18,3.18,-29.21,0.0,100.1,3.0
-3.18,-2.0,-29.21,0.0,100.0,-3.2
-3.18,2.0,-29.21,0.0,99.1,1.1
-3.18,-6.35,-29.21,0.0,108.1,-4.1
-3.18,6.35,-29.21,0.0,105.3,9.5
-6.35,0.0,-29.21,0.0,98.8,-1.5
-6.35,-4.5,-29.21,0.0,103.8,-4.2
-6.35,4.5,-29.21,0.0,101.8,5.4
-6.35,-3.18,-29.21,0.0,101.5,-3.8
-6.35,3.18,-29.21,0.0,100.1,3.0
-6.35,-2.0,-29.21,0.0,100.0,-3.2
-6.35,2.0,-29.21,0.0,99.1,1.1
-6.35,-6.35,-29.21,0.0,108.1,-4.1
-6.35,6.35,-29.21,0.0,105.3,9.5
6.35,0.0,-29.21,0.0,98.8,-1.5
6.35,-4.5,-29.21,0.0,103.8,-4.2
6.35,4.5,-29.21,0.0,101.8,5.4
6.35,-3.18,-29.21,0.0,101.5,-3.8
6.35,3.18,-29.21,0.0,100.1,3.0
6.35,-2.0,-29.21,0.0,100.0,-3.2
6.35,2.0,-29.21,0.0,99.1,1.1
6.35,-6.35,-29.21,0.0,108.1,-4.1
6.35,6.35,-29.21,0.0,105.3,9.5
-0.0,0.0,-24.21,0.0,102.6,-0.6
-0.0,-4.5,-24.21,0.0,103.3,0.3
-0.0,4.5,-24.21,0.0,102.0,1.8
-0.0,-3.18,-24.21,0.0,103.0,-0.3
-0.0,3.18,-24.21,0.0,102.1,0.7
-0.0,-2.0,-24.21,0.0,102.9,-0.6
-0.0,2.0,-24.21,0.0,102.3,0.1
-0.0,-6.35,-24.21,0.0,103.7,1.7
-0.0,6.35,-24.21,0.0,101.9,3.9
4.5,0.0,-24.21,0.0,102.6,-0.6
4.5,-4.5,-24.21,0.0,103.3,0.3
4.5,4.5,-24.21,0.0,102.0,1.8
4.5,-3.18,-24.21,0.0,103.0,-0.3
4.5,3.18,-24.21,0.0,102.1,0.7
4.5,-2.0,-24.21,0.0,102.9,-0.6
4.5,2.0,-24.21,0.0,102.3,0.1
4.5,-6.35,-24.21,0.0,103.7,1.7
4.5,6.35,-24.21,0.0,101.9,3.9
-4.5,0.0,-24.21,0.0,102.6,-0.6
-4.5,-4.5,-24.21,0.0,103.3,0.3
-4.5,4.5,-24.21,0.0,102.0,1.8
-4.5,-3.18,-24.21,0.0,103.0,-0.3
-4.5,3.18,-24.21,0.0,102.1,0.7
-4.5,-2.0,-24.21,0.0,102.9,-0.6
-4.5,2.0,-24.21,0.0,102.3,0.1
-4.5,-6.35,-24.21,0.0,103.7,1.7
-4.5,6.35,-24.21,0.0,101.9,3.9
3.18,0.0,-24.21,0.0,102.6,-0.6
3.18,-4.5,-24.21,0.0,103.3,0.3
3.18,4.5,-24.21,0.0,102.0,1.8
3.18,-3.18,-24.21,0.0,103.0,-0.3
3.18,3.18,-24.21,0.0,102.1,0.7
3.18,-2.0,-24.21,0.0,102.9,-0.6
3.18,2.0,-24.21,0.0,102.3,0.1
3.18,-6.35,-24.21,0.0,103.7,1.7
3.18,6.35,-24.21,0.0,101.9,3.9
-3.18,0.0,-24.21,0.0,102.6,-0.6
-3.18,-4.5,-24.21,0.0,103.3,0.3
-3.18,4.5,-24.21,0.0,102.0,1.8
-3.18,-3.18,-24.21,0.0,103.0,-0.3
-3.18,3.18,-24.21,0.0,102.1,0.7
-3.18,-2.0,-24.21,0.0,102.9,-0.6
-3.18,2.0,-24.21,0.0,102.3,0.1
-3.18,-6.35,-24.21,0.0,103.7,1.7
-3.18,6.35,-24.21,0.0,101.9,3.9
-6.35,0.0,-24.21,0.0,102.6,-0.6
-6.35,-4.5,-24.21,0.0,103.3,0.3
-6.35,4.5,-24.21,0.0,102.0,1.8
-6.35,-3.18,-24.21,0.0,103.0,-0.3
-6.35,3.18,-24.21,0.0,102.1,0.7
-6.35,-2.0,-24.21,0.0,102.9,-0.6
-6.35,2.0,-24.21,0.0,102.3,0.1
-6.35,-6.35,-24.21,0.0,103.7,1.7
-6.35,6.35,-24.21,0.0,101.9,3.9
6.35,0.0,-24.21,0.0,102.6,-0.6
6.35,-4.5,-24.21,0.0,103.3,0.3
6.35,4.5,-24.21,0.0,102.0,1.8
6.35,-3.18,-24.21,0.0,103.0,-0.3
6.35,3.18,-24.21,0.0,102.1,0.7
6.35,-2.0,-24.21,0.0,102.9,-0.6
6.35,2.0,-24.21,0.0,102.3,0.1
6.35,-6.35,-24.21,0.0,103.7,1.7
6.35,6.35,-24.21,0.0,101.9,3.9
-0.0,0.0,-19.21,0.0,102.4,-0.2
-0.0,-4.5,-19.21,0.0,103.3,1.8
-0.0,4.5,-19.21,0.0,102.0,0.1
-0.0,-3.18,-19.21,0.0,103.0,1.0
-0.0,3.18,-19.21,0.0,102.1,-0.2
-0.0,-2.0,-19.21,0.0,102.7,0.4
-0.0,2.0,-19.21,0.0,102.2,-0.3
-0.0,-6.35,-19.21,0.0,103.9,3.2
-0.0,6.35,-19.21,0.0,102.1,0.9
4.5,0.0,-19.21,0.0,102.4,-0.2
4.5,-4.5,-19.21,0.0,103.3,1.8
4.5,4.5,-19.21,0.0,102.0,0.1
4.5,-3.18,-19.21,0.0,103.0,1.0
4.5,3.18,-19.21,0.0,102.1,-0.2
4.5,-2.0,-19.21,0.0,102.7,0.4
4.5,2.0,-19.21,0.0,102.2,-0.3
4.5,-6.35,-19.21,0.0,103.9,3.2
4.5,6.35,-19.21,0.0,102.1,0.9
-4.5,0.0,-19.21,0.0,102.4,-0.2
-4.5,-4.5,-19.21,0.0,103.3,1.8
-4.5,4.5,-19.21,0.0,102.0,0.1
-4.5,-3.18,-19.21,0.0,103.0,1.0
-4.5,3.18,-19.21,0.0,102.1,-0.2
-4.5,-2.0,-19.21,0.0,102.7,0.4
-4.5,2.0,-19.21,0.0,102.2,-0.3
-4.5,-6.35,-19.21,0.0,103.9,3.2
-4.5,6.35,-19.21,0.0,102.1,0.9
3.18,0.0,-19.21,0.0,102.4,-0.2
3.18,-4.5,-19.21,0.0,103.3,1.8
3.18,4.5,-19.21,0.0,102.0,0.1
3.18,-3.18,-19.21,0.0,103.0,1.0
3.18,3.18,-19.21,0.0,102.1,-0.2
3.18,-2.0,-19.21,0.0,102.7,0.4
3.18,2.0,-19.21,0.0,102.2,-0.3
3.18,-6.35,-19.21,0.0,103.9,3.2
3.18,6.35,-19.21,0.0,102.1,0.9
-3.18,0.0,-19.21,0.0,102.4,-0.2
-3.18,-4.5,-19.21,0.0,103.3,1.8
-3.18,4.5,-19.21,0.0,102.0,0.1
-3.18,-3.18,-19.21,0.0,103.0,1.0
-3.18,3.18,-19.21,0.0,102.1,-0.2
-3.18,-2.0,-19.21,0.0,102.7,0.4
-3.18,2.0,-19.21,0.0,102.2,-0.3
-3.18,-6.35,-19.21,0.0,103.9,3.2
-3.18,6.35,-19.21,0.0,102.1,0.9
-6.35,0.0,-19.21,0.0,102.4,-0.2
-6.35,-4.5,-19.21,0.0,103.3,1.8
-6.35,4.5,-19.21,0.0,102.0,0.1
-6.35,-3.18,-19.21,0.0,103.0,1.0
-6.35,3.18,-19.21,0.0,102.1,-0.2
-6.35,-2.0,-19.21,0.0,102.7,0.4
-6.35,2.0,-19.21,0.0,102.2,-0.3
-6.35,-6.35,-19.21,0.0,103.9,3.2
-6.35,6.35,-19.21,0.0,102.1,0.9
6.35,0.0,-19.21,0.0,102.4,-0.2
6.35,-4.5,-19.21,0.0,103.3,1.8
6.35,4.5,-19.21,0.0,102.0,0.1
6.35,-3.18,-19.21,0.0,103.0,1.0
6.35,3.18,-19.21,0.0,102.1,-0.2
6.35,-2.0,-19.21,0.0,102.7,0.4
6.35,2.0,-19.21,0.0,102.2,-0.3
6.35,-6.35,-19.21,0.0,103.9,3.2
6.35,6.35,-19.21,0.0,102.1,0.9
-0.0,0.0,-14.209999999999999,0.0,96.7,0.7
-0.0,-4.5,-14.209999999999999,0.0,103.7,8.2
-0.0,4.5,-14.209999999999999,0.0,101.2,-5.3
-0.0,-3.18,-14.209999999999999,0.0,100.4,5.8
-0.0,3.18,-14.209999999999999,0.0,98.7,-3.7
-0.0,-2.0,-14.209999999999999,0.0,98.4,3.8
-0.0,2.0,-14.209999999999999,0.0,97.2,-2.1
-0.0,-6.35,-14.209999999999999,0.0,109.9,11.7
-0.0,6.35,-14.209999999999999,0.0,106.4,-7.3
4.5,0.0,-14.209999999999999,0.0,96.7,0.7
4.5,-4.5,-14.209999999999999,0.0,103.7,8.2
